ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
101942;4-Aduana;Equipamento de Radiação Restrita;;;41;8200,00;41;jan;31/01/2023;06/08/2023;2023
101939;4-Aduana;Outros;;;0;0,00;0;jan;19/01/2023;06/08/2023;2023
101935;4-Aduana;Bloqueador de sinal (Jammer);;;2;1000,00;2;jan;09/01/2023;06/08/2023;2023
101935;4-Aduana;SmartTV Box;;;51;30600,00;51;jan;09/01/2023;06/08/2023;2023
101935;4-Aduana;Outros;;;0;0,00;0;jan;09/01/2023;06/08/2023;2023
101936;4-Aduana;Equipamento de Radiação Restrita;;;255;51000,00;255;jan;09/01/2023;06/08/2023;2023
101935;4-Aduana;Equipamento de Radiação Restrita;;;360;72000,00;360;jan;09/01/2023;06/08/2023;2023
101309;4-Aduana;Equipamento de Rede de Dados;;;39;11700,00;39;jan;30/01/2023;06/08/2023;2023
101309;4-Aduana;Celulares;;;4;800,00;4;jan;30/01/2023;06/08/2023;2023
101936;4-Aduana;Equipamento de Rede de Dados;;;2;1200,00;2;jan;09/01/2023;06/08/2023;2023
101309;4-Aduana;SmartTV Box;;;398;79600,00;398;jan;30/01/2023;06/08/2023;2023
101309;4-Aduana;Outros;;;;0,00;0;jan;30/01/2023;06/08/2023;2023
101936;4-Aduana;SmartTV Box;;;186;111600,00;186;jan;09/01/2023;06/08/2023;2023
101938;4-Aduana;Equipamento de Rede de Dados;;;2;1200,00;2;jan;19/01/2023;06/08/2023;2023
101938;4-Aduana;Equipamento de Radiação Restrita;;;190;38000,00;190;jan;19/01/2023;06/08/2023;2023
101937;4-Aduana;Outros;;;0;0,00;0;jan;19/01/2023;06/08/2023;2023
95900;4-Aduana;Outros;;;;0,00;0;nov;08/11/2022;06/08/2023;2022
101938;4-Aduana;Decodificador de sinal para SeAC;;;2;1000,00;2;jan;19/01/2023;06/08/2023;2023
101937;4-Aduana;SmartTV Box;;;50;30000,00;50;jan;19/01/2023;06/08/2023;2023
101936;4-Aduana;Outros;;;0;0,00;0;jan;09/01/2023;06/08/2023;2023
101936;4-Aduana;Decodificador de sinal para SeAC;;;3;1500,00;3;jan;09/01/2023;06/08/2023;2023
101938;4-Aduana;Outros;;;0;0,00;0;jan;19/01/2023;06/08/2023;2023
101937;4-Aduana;Equipamento de Radiação Restrita;;;357;900800,00;357;jan;19/01/2023;06/08/2023;2023
101937;4-Aduana;Equipamento de Rede de Dados;;;53;31800,00;53;jan;19/01/2023;06/08/2023;2023
101941;4-Aduana;Equipamento de Radiação Restrita;;;486;97200,00;486;jan;31/01/2023;06/08/2023;2023
102995;4-Aduana;SmartTV Box;;;84;25200,00;84;mar;02/03/2023;06/08/2023;2023
102995;4-Aduana;Equipamento de Rede de Dados;;;12;6000,00;12;mar;02/03/2023;06/08/2023;2023
102995;4-Aduana;Equipamento de Radiação Restrita;;;223;67300,00;223;mar;02/03/2023;06/08/2023;2023
102995;4-Aduana;Reforçador de sinal;;;1;300,00;1;mar;02/03/2023;06/08/2023;2023
102993;4-Aduana;Outros;;;0;0,00;0;fev;16/02/2023;06/08/2023;2023
102993;4-Aduana;Equipamento de Rede de Dados;;;13;7800,00;13;fev;16/02/2023;06/08/2023;2023
102993;4-Aduana;Equipamento de Radiação Restrita;;;403;80600,00;403;fev;16/02/2023;06/08/2023;2023
102995;4-Aduana;Bloqueador de sinal (Jammer);;;1;700,00;1;mar;02/03/2023;06/08/2023;2023
102993;4-Aduana;SmartTV Box;;;210;126000,00;210;fev;16/02/2023;06/08/2023;2023
101943;4-Aduana;Decodificador de sinal para SeAC;;;1;500,00;1;jan;31/01/2023;06/08/2023;2023
102995;4-Aduana;Decodificador de sinal para SeAC;;;2;1400,00;2;mar;02/03/2023;06/08/2023;2023
102994;4-Aduana;Decodificador de sinal para SeAC;;;5;2500,00;5;fev;16/02/2023;06/08/2023;2023
102994;4-Aduana;SmartTV Box;;;170;102000,00;170;fev;16/02/2023;06/08/2023;2023
102994;4-Aduana;Celulares;;;3;2100,00;3;fev;16/02/2023;06/08/2023;2023
102994;4-Aduana;Outros;;;0;0,00;0;fev;16/02/2023;06/08/2023;2023
103810;1-Comércio;Equipamento de Radiação Restrita;;85;;0,00;85;mar;09/03/2023;06/08/2023;2023
102994;4-Aduana;Equipamento óptico;;;63;6300,00;63;fev;16/02/2023;06/08/2023;2023
102995;4-Aduana;Outros;;;;0,00;0;mar;02/03/2023;06/08/2023;2023
102995;4-Aduana;Outros;;;1;2500,00;1;mar;02/03/2023;06/08/2023;2023
102992;4-Aduana;Outros;;;0;0,00;0;fev;16/02/2023;06/08/2023;2023
102994;4-Aduana;Equipamento de Radiação Restrita;;;141;28200,00;141;fev;16/02/2023;06/08/2023;2023
102994;4-Aduana;Equipamento de Rede de Dados;;;20;12000,00;20;fev;16/02/2023;06/08/2023;2023
102993;4-Aduana;Decodificador de sinal para SeAC;;;1;500,00;1;fev;16/02/2023;06/08/2023;2023
82120;4-Aduana;Reforçador de sinal;;;1;250,00;1;jan;25/01/2022;06/08/2023;2022
82131;4-Aduana;Bloqueador de sinal (Jammer);;;5;2500,00;5;jan;31/01/2022;06/08/2023;2022
102990;4-Aduana;Equipamento de Radiação Restrita;;;271;54200,00;271;fev;16/02/2023;06/08/2023;2023
102990;4-Aduana;SmartTV Box;;;98;58800,00;98;fev;16/02/2023;06/08/2023;2023
82219;4-Aduana;Bloqueador de sinal (Jammer);;;2;1000,00;2;jan;31/01/2022;06/08/2023;2022
101943;4-Aduana;Outros;;;0;0,00;0;jan;31/01/2023;06/08/2023;2023
101943;4-Aduana;Outros;;;9;54000,00;9;jan;31/01/2023;06/08/2023;2023
102990;4-Aduana;Outros;;;0;0,00;0;fev;16/02/2023;06/08/2023;2023
73155;4-Aduana;Bloqueador de sinal (Jammer);;;12;5400,00;12;ago;31/08/2021;06/08/2023;2021
73118;1-Comércio;Outros;0;1210;0;30068,50;1210;out;27/10/2021;06/08/2023;2021
102991;4-Aduana;Equipamento de Radiação Restrita;;;352;70400,00;352;fev;16/02/2023;06/08/2023;2023
102992;4-Aduana;Equipamento de Rede de Dados;;;10;6000,00;10;fev;16/02/2023;06/08/2023;2023
102992;4-Aduana;Equipamento de Radiação Restrita;;;2;400,00;2;fev;16/02/2023;06/08/2023;2023
102991;4-Aduana;Outros;;;0;0,00;0;fev;16/02/2023;06/08/2023;2023
102992;4-Aduana;Equipamento óptico;;;10;1000,00;10;fev;16/02/2023;06/08/2023;2023
102992;4-Aduana;SmartTV Box;;;273;163800,00;273;fev;16/02/2023;06/08/2023;2023
102991;4-Aduana;Outros;;;45;270000,00;45;fev;16/02/2023;06/08/2023;2023
102991;4-Aduana;Equipamento óptico;;;20;2000,00;20;fev;16/02/2023;06/08/2023;2023
102991;4-Aduana;Equipamento de Rede de Dados;;;2;1200,00;2;fev;16/02/2023;06/08/2023;2023
102992;4-Aduana;Decodificador de sinal para SeAC;;;9;4500,00;9;fev;16/02/2023;06/08/2023;2023
102991;4-Aduana;SmartTV Box;;;118;70800,00;118;fev;16/02/2023;06/08/2023;2023
102991;4-Aduana;Decodificador de sinal para SeAC;;;3;1500,00;3;fev;16/02/2023;06/08/2023;2023
101938;4-Aduana;SmartTV Box;;;181;108600,00;181;jan;19/01/2023;06/08/2023;2023
96032;4-Aduana;Decodificador de sinal para SeAC;;;2;1000,00;2;nov;11/11/2022;06/08/2023;2022
96032;4-Aduana;Reforçador de sinal;;;2;1060,00;2;nov;11/11/2022;06/08/2023;2022
96032;4-Aduana;Outros;;;;0,00;0;nov;11/11/2022;06/08/2023;2022
101308;4-Aduana;Equipamento de Rede de Dados;;;1;600,00;1;jan;30/01/2023;06/08/2023;2023
96032;4-Aduana;Celulares;;;3;15800,00;3;nov;11/11/2022;06/08/2023;2022
82570;4-Aduana;Reforçador de sinal;;;1;250,00;1;fev;08/02/2022;06/08/2023;2022
95903;4-Aduana;Outros;;;0;0,00;0;nov;16/11/2022;06/08/2023;2022
96551;4-Aduana;Equipamento de Rede de Dados;;;1;600,00;1;dez;01/12/2022;06/08/2023;2022
96032;4-Aduana;Equipamento de Radiação Restrita;;;46;22690,00;46;nov;11/11/2022;06/08/2023;2022
96549;4-Aduana;SmartTV Box;;;193;115800,00;193;nov;30/11/2022;06/08/2023;2022
96551;4-Aduana;SmartTV Box;;;62;37200,00;62;dez;01/12/2022;06/08/2023;2022
96548;4-Aduana;Outros;;;;0,00;0;nov;24/11/2022;06/08/2023;2022
96548;4-Aduana;Reforçador de sinal;;;8;3820,00;8;nov;24/11/2022;06/08/2023;2022
96548;4-Aduana;SmartTV Box;;;39;23400,00;39;nov;24/11/2022;06/08/2023;2022
96549;4-Aduana;Equipamento de Radiação Restrita;;;200;40000,00;200;nov;30/11/2022;06/08/2023;2022
96549;4-Aduana;Equipamento de Rede de Dados;;;24;14400,00;24;nov;30/11/2022;06/08/2023;2022
96548;4-Aduana;Equipamento de Radiação Restrita;;;144;104370,00;144;nov;24/11/2022;06/08/2023;2022
96551;4-Aduana;Outros;;;0;0,00;0;dez;01/12/2022;06/08/2023;2022
96551;4-Aduana;Decodificador de sinal para SeAC;;;1;500,00;1;dez;01/12/2022;06/08/2023;2022
95903;4-Aduana;Decodificador de sinal para SeAC;;;5;2500,00;5;nov;16/11/2022;06/08/2023;2022
96548;4-Aduana;Bloqueador de sinal (Jammer);;;1;320,00;1;nov;24/11/2022;06/08/2023;2022
96548;4-Aduana;Decodificador de sinal para SeAC;;;1;500,00;1;nov;24/11/2022;06/08/2023;2022
96032;4-Aduana;SmartTV Box;;;165;91800,00;165;nov;11/11/2022;06/08/2023;2022
95904;4-Aduana;SmartTV Box;;;94;18800,00;94;nov;18/11/2022;06/08/2023;2022
95901;4-Aduana;Decodificador de sinal para SeAC;;;5;1000,00;5;nov;09/11/2022;06/08/2023;2022
95904;4-Aduana;Reforçador de sinal;;;4;600,00;4;nov;18/11/2022;06/08/2023;2022
95904;4-Aduana;Equipamento óptico;;;1;100,00;1;nov;18/11/2022;06/08/2023;2022
95901;4-Aduana;Equipamento de Radiação Restrita;;;191;39400,00;191;nov;09/11/2022;06/08/2023;2022
95901;4-Aduana;Celulares;;;1;800,00;1;nov;09/11/2022;06/08/2023;2022
95901;4-Aduana;SmartTV Box;;;74;16000,00;74;nov;09/11/2022;06/08/2023;2022
95904;4-Aduana;Equipamento de Radiação Restrita;;;251;127900,00;251;nov;18/11/2022;06/08/2023;2022
95901;4-Aduana;Reforçador de sinal;;;3;1200,00;3;nov;09/11/2022;06/08/2023;2022
95901;4-Aduana;Outros;;;;0,00;0;nov;09/11/2022;06/08/2023;2022
95904;4-Aduana;Outros;;;;0,00;0;nov;18/11/2022;06/08/2023;2022
95903;4-Aduana;Equipamento de Radiação Restrita;;;362;72400,00;362;nov;16/11/2022;06/08/2023;2022
95902;4-Aduana;Outros;;;;1100,00;0;nov;11/11/2022;06/08/2023;2022
95902;4-Aduana;Decodificador de sinal para SeAC;;;1;200,00;1;nov;11/11/2022;06/08/2023;2022
95903;4-Aduana;Equipamento de Rede de Dados;;;1;200,00;1;nov;16/11/2022;06/08/2023;2022
95903;4-Aduana;Celulares;;;1;1000,00;1;nov;16/11/2022;06/08/2023;2022
95902;4-Aduana;Equipamento de Radiação Restrita;;;73;37000,00;73;nov;11/11/2022;06/08/2023;2022
95902;4-Aduana;Celulares;;;1;800,00;1;nov;11/11/2022;06/08/2023;2022
95902;4-Aduana;SmartTV Box;;;233;46600,00;233;nov;11/11/2022;06/08/2023;2022
95903;4-Aduana;SmartTV Box;;;98;58800,00;98;nov;16/11/2022;06/08/2023;2022
95902;4-Aduana;Reforçador de sinal;;;2;400,00;2;nov;11/11/2022;06/08/2023;2022
95902;4-Aduana;Outros;;;4;400,00;4;nov;11/11/2022;06/08/2023;2022
96551;4-Aduana;Equipamento de Radiação Restrita;;;368;73600,00;368;dez;01/12/2022;06/08/2023;2022
97051;4-Aduana;Decodificador de sinal para SeAC;;;1;300,00;1;dez;13/12/2022;06/08/2023;2022
97051;4-Aduana;SmartTV Box;;;149;29800,00;149;dez;13/12/2022;06/08/2023;2022
97051;4-Aduana;Outros;;;;0,00;0;dez;13/12/2022;06/08/2023;2022
97068;4-Aduana;Outros;;;;0,00;0;dez;20/12/2022;06/08/2023;2022
97051;4-Aduana;Celulares;;;2;1600,00;2;dez;13/12/2022;06/08/2023;2022
97052;4-Aduana;Outros;;;;0,00;0;dez;16/12/2022;06/08/2023;2022
97052;4-Aduana;Reforçador de sinal;;;2;600,00;2;dez;16/12/2022;06/08/2023;2022
97068;4-Aduana;Celulares;;;100;60000,00;100;dez;20/12/2022;06/08/2023;2022
97051;4-Aduana;Equipamento de Radiação Restrita;;;197;98500,00;197;dez;13/12/2022;06/08/2023;2022
96549;4-Aduana;Decodificador de sinal para SeAC;;;4;2000,00;4;nov;30/11/2022;06/08/2023;2022
97068;4-Aduana;SmartTV Box;;;179;53700,00;179;dez;20/12/2022;06/08/2023;2022
97069;4-Aduana;Equipamento de Radiação Restrita;;;1;300,00;1;dez;21/12/2022;06/08/2023;2022
97069;4-Aduana;SmartTV Box;;;88;26400,00;88;dez;21/12/2022;06/08/2023;2022
97069;4-Aduana;Equipamento de Rede de Dados;;;6;3000,00;6;dez;21/12/2022;06/08/2023;2022
97069;4-Aduana;Outros;;;;0,00;0;dez;21/12/2022;06/08/2023;2022
101308;4-Aduana;Equipamento de Radiação Restrita;;;333;100000,00;333;jan;30/01/2023;06/08/2023;2023
97069;4-Aduana;Celulares;;;1;600,00;1;dez;21/12/2022;06/08/2023;2022
97069;4-Aduana;Bloqueador de sinal (Jammer);;;1;300,00;1;dez;21/12/2022;06/08/2023;2022
97068;4-Aduana;Equipamento de Radiação Restrita;;;15;7500,00;15;dez;20/12/2022;06/08/2023;2022
97052;4-Aduana;SmartTV Box;;;154;46200,00;154;dez;16/12/2022;06/08/2023;2022
97069;4-Aduana;Decodificador de sinal para SeAC;;;3;900,00;3;dez;21/12/2022;06/08/2023;2022
97069;4-Aduana;Equipamento de Radiação Restrita;;;147;36750,00;147;dez;21/12/2022;06/08/2023;2022
97051;4-Aduana;Equipamento de Rede de Dados;;;41;20500,00;41;dez;13/12/2022;06/08/2023;2022
96554;4-Aduana;Celulares;;;1;5000,00;1;dez;01/12/2022;06/08/2023;2022
96554;4-Aduana;Equipamento de Radiação Restrita;;;312;62400,00;312;dez;01/12/2022;06/08/2023;2022
96554;4-Aduana;Equipamento de Rede de Dados;;;3;1800,00;3;dez;01/12/2022;06/08/2023;2022
96554;4-Aduana;SmartTV Box;;;78;46800,00;78;dez;01/12/2022;06/08/2023;2022
96550;4-Aduana;Outros;;;0;0,00;0;dez;01/12/2022;06/08/2023;2022
96550;4-Aduana;Equipamento de Radiação Restrita;;;192;38400,00;192;dez;01/12/2022;06/08/2023;2022
96549;4-Aduana;Outros;;;0;0,00;0;nov;30/11/2022;06/08/2023;2022
96554;4-Aduana;Outros;;;0;0,00;0;dez;01/12/2022;06/08/2023;2022
96550;4-Aduana;SmartTV Box;;;114;68400,00;114;dez;01/12/2022;06/08/2023;2022
96550;4-Aduana;Decodificador de sinal para SeAC;;;2;1000,00;2;dez;01/12/2022;06/08/2023;2022
96736;4-Aduana;Equipamento de Radiação Restrita;;;1650;2475000,00;1650;dez;07/12/2022;06/08/2023;2022
97015;4-Aduana;Outros;;;;0,00;0;dez;07/12/2022;06/08/2023;2022
97015;4-Aduana;SmartTV Box;;;123;24600,00;123;dez;07/12/2022;06/08/2023;2022
97015;4-Aduana;Celulares;;;2;1600,00;2;dez;07/12/2022;06/08/2023;2022
97052;4-Aduana;Bloqueador de sinal (Jammer);;;1;200,00;1;dez;16/12/2022;06/08/2023;2022
97052;4-Aduana;Equipamento de Radiação Restrita;;;323;80750,00;323;dez;16/12/2022;06/08/2023;2022
97015;4-Aduana;Equipamento de Radiação Restrita;;;190;47500,00;190;dez;07/12/2022;06/08/2023;2022
97014;4-Aduana;Equipamento de Radiação Restrita;;;87;43500,00;87;dez;07/12/2022;06/08/2023;2022
97014;4-Aduana;Decodificador de sinal para SeAC;;;4;800,00;4;dez;07/12/2022;06/08/2023;2022
97052;4-Aduana;Equipamento de Rede de Dados;;;4;1600,00;4;dez;16/12/2022;06/08/2023;2022
97014;4-Aduana;SmartTV Box;;;131;26200,00;131;dez;07/12/2022;06/08/2023;2022
97014;4-Aduana;Outros;;;;0,00;0;dez;07/12/2022;06/08/2023;2022
94815;4-Aduana;Equipamento de Radiação Restrita;;;230;46000,00;230;set;30/09/2022;06/08/2023;2022
85399;4-Aduana;Equipamento de Radiação Restrita;;;83;24900,00;83;mai;03/05/2022;06/08/2023;2022
85399;4-Aduana;Reforçador de sinal;;;1;200,00;1;mai;03/05/2022;06/08/2023;2022
85400;4-Aduana;SmartTV Box;;;170;102000,00;170;mai;09/05/2022;06/08/2023;2022
84609;4-Aduana;Equipamento de Radiação Restrita;;;35;10500,00;35;abr;20/04/2022;06/08/2023;2022
85399;4-Aduana;SmartTV Box;;;105;63000,00;105;mai;03/05/2022;06/08/2023;2022
90879;4-Aduana;SmartTV Box;;;170;102000,00;170;jul;11/07/2022;06/08/2023;2022
85259;4-Aduana;SmartTV Box;;;150;90000,00;150;abr;29/04/2022;06/08/2023;2022
85400;4-Aduana;Equipamento de Radiação Restrita;;;44;13200,00;44;mai;09/05/2022;06/08/2023;2022
85259;4-Aduana;Reforçador de sinal;;;1;100,00;1;abr;29/04/2022;06/08/2023;2022
85807;4-Aduana;Decodificador de sinal para SeAC;;;1;500,00;1;mai;10/05/2022;06/08/2023;2022
85569;4-Aduana;SmartTV Box;;;94;56400,00;94;mai;04/05/2022;06/08/2023;2022
85643;4-Aduana;Reforçador de sinal;;;1;200,00;1;mai;06/05/2022;06/08/2023;2022
85643;4-Aduana;SmartTV Box;;;126;75600,00;126;mai;06/05/2022;06/08/2023;2022
85643;4-Aduana;Equipamento de Radiação Restrita;;;18;5400,00;18;mai;06/05/2022;06/08/2023;2022
85665;4-Aduana;Equipamento de Radiação Restrita;;;2148;322200,00;2148;mai;20/05/2022;06/08/2023;2022
82902;4-Aduana;Bloqueador de sinal (Jammer);;;1;500,00;1;fev;15/02/2022;06/08/2023;2022
85643;4-Aduana;Decodificador de sinal para SeAC;;;2;1000,00;2;mai;06/05/2022;06/08/2023;2022
85569;4-Aduana;Reforçador de sinal;;;2;400,00;2;mai;04/05/2022;06/08/2023;2022
85569;4-Aduana;Decodificador de sinal para SeAC;;;2;1000,00;2;mai;04/05/2022;06/08/2023;2022
85260;4-Aduana;SmartTV Box;;;63;37800,00;63;abr;29/04/2022;06/08/2023;2022
85569;4-Aduana;Equipamento de Radiação Restrita;;;14;4200,00;14;mai;04/05/2022;06/08/2023;2022
82902;4-Aduana;Reforçador de sinal;;;1;250,00;1;fev;15/02/2022;06/08/2023;2022
85259;4-Aduana;Equipamento de Radiação Restrita;;;69;20700,00;69;abr;29/04/2022;06/08/2023;2022
84607;4-Aduana;Bloqueador de sinal (Jammer);;;3;1500,00;3;abr;06/04/2022;06/08/2023;2022
84610;4-Aduana;Equipamento óptico;;;2;30000,00;2;abr;13/04/2022;06/08/2023;2022
84607;4-Aduana;Decodificador de sinal para SeAC;;;1;300,00;1;abr;06/04/2022;06/08/2023;2022
84607;4-Aduana;Equipamento de Radiação Restrita;;;1;500,00;1;abr;06/04/2022;06/08/2023;2022
84610;4-Aduana;SmartTV Box;;;334;200400,00;334;abr;13/04/2022;06/08/2023;2022
84609;4-Aduana;Decodificador de sinal para SeAC;;;5;1000,00;5;abr;20/04/2022;06/08/2023;2022
84609;4-Aduana;Celulares;;;1;300,00;1;abr;20/04/2022;06/08/2023;2022
84644;4-Aduana;Bloqueador de sinal (Jammer);;;1;500,00;1;abr;14/04/2022;06/08/2023;2022
84610;4-Aduana;Decodificador de sinal para SeAC;;;3;1500,00;3;abr;13/04/2022;06/08/2023;2022
84610;4-Aduana;Equipamento de Radiação Restrita;;;33;9900,00;33;abr;13/04/2022;06/08/2023;2022
84644;4-Aduana;Decodificador de sinal para SeAC;;;1;500,00;1;abr;14/04/2022;06/08/2023;2022
84724;4-Aduana;Cabo Metálico;;;30;900,00;30;abr;14/04/2022;06/08/2023;2022
84724;4-Aduana;Cabo Metálico;;;40;1000,00;40;abr;14/04/2022;06/08/2023;2022
84724;4-Aduana;Cabo Metálico;;;80;1600,00;80;abr;14/04/2022;06/08/2023;2022
84724;4-Aduana;Antena;;;500;17500,00;500;abr;14/04/2022;06/08/2023;2022
85056;4-Aduana;Carregadores de Baterias;;;0;0,00;0;jun;20/06/2022;06/08/2023;2022
84724;4-Aduana;Cabo Metálico;;;150;2250,00;150;abr;14/04/2022;06/08/2023;2022
84644;4-Aduana;SmartTV Box;;;88;57200,00;88;abr;14/04/2022;06/08/2023;2022
84644;4-Aduana;Equipamento de Radiação Restrita;;;2;600,00;2;abr;14/04/2022;06/08/2023;2022
85260;4-Aduana;Equipamento de Radiação Restrita;;;32;9600,00;32;abr;29/04/2022;06/08/2023;2022
84724;4-Aduana;Cabo Metálico;;;340;1700,00;340;abr;14/04/2022;06/08/2023;2022
84724;4-Aduana;Cabo Metálico;;;200;2000,00;200;abr;14/04/2022;06/08/2023;2022
85400;4-Aduana;Reforçador de sinal;;;2;400,00;2;mai;09/05/2022;06/08/2023;2022
